PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
920,Marquesha Davis,NYL,G,9,31,8,5,1,0,1,0,25.0,85.7,3,1,4,3,0.0,1,4,6,7
947,Jaylyn Sherrod,MIN,G,8,38,8,4,2,1,0,0,37.5,50.0,1,0,4,2,0.0,3,8,2,4
653,Joyner Holmes,LVA,F,6,29,7,6,0,0,0,1,25.0,0.0,2,2,4,5,20.0,3,12,0,0
421,Moriah Jefferson,CHI,G,5,35,7,5,9,0,0,1,37.5,0.0,2,0,5,3,33.3,3,8,0,0
1012,Taylor Thierry,ATL,F,17,36,6,6,2,4,0,1,18.2,25.0,1,2,4,3,33.3,2,11,1,4
788,Sika Kone,ATL,F,8,11,4,1,1,0,0,0,0.0,100.0,0,0,1,2,0.0,0,4,4,4
970,Kyara Linskens,GSV,C,5,27,4,6,1,1,3,0,40.0,0.0,2,1,5,1,0.0,2,5,0,0
612,Crystal Bradford,LVA,F,4,24,4,5,1,2,0,0,33.3,0.0,1,2,3,2,0.0,2,6,0,0
964,Camryn Taylor,MIN,F,6,23,3,6,1,0,0,1,14.3,0.0,3,2,4,3,33.3,1,7,0,2
997,Megan McConnell,PHO,G,1,13,3,1,3,1,0,1,25.0,0.0,0,1,0,2,50.0,1,4,0,0
987,Bree Hall,GSV,G,3,12,3,2,0,0,0,0,33.3,33.3,3,0,2,2,0.0,1,3,1,3
920,Marquesha Davis,CHI,G,2,21,2,2,0,0,1,0,16.7,0.0,3,2,0,1,0.0,1,6,0,0
1018,Liatu King,DAL,F,2,16,2,4,0,0,0,0,33.3,0.0,0,2,2,0,0.0,1,3,0,0
845,Robyn Parks,CON,F,6,63,2,9,2,2,0,0,20.0,0.0,1,1,8,4,0.0,1,5,0,0
293,Aerial Powers,GSV,G,2,7,2,2,1,1,0,0,0.0,100.0,0,1,1,0,0.0,0,2,2,2
400,Alexis Prince,PHO,F,1,22,2,8,1,0,0,0,33.3,0.0,3,0,8,1,0.0,1,3,0,0
780,Yvonne Anderson,MIN,G,1,12,0,1,2,2,0,0,0.0,0.0,0,0,1,1,0.0,0,3,0,0
861,Grace Berger,LAS,G,1,16,0,1,1,0,0,0,0.0,0.0,3,1,0,2,0.0,0,4,0,0
713,Kamiah Smalls,ATL,G,3,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0
1042,Kyra Lambert,IND,G,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0
1028,Ajae Petty,DAL,F,2,6,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0.0,0,0,0,0
1011,Serena Sundell,DAL,G,3,22,0,1,0,0,0,0,0.0,0.0,2,0,1,1,0.0,0,1,0,0
987,Bree Hall,IND,G,1,5,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0.0,0,2,0,0
968,Marieme Badiane,MIN,F,3,11,0,1,0,2,0,0,0.0,0.0,2,1,0,1,0.0,0,3,0,0
